# Teff=  4000 K   Age= 1.0 Myr   M*= 0.70 Mo   R*= 2.64 Ro 
# 
# Rdisk=  300 AU         Rhole= 22.0 R* 
# Mdot= 1.0e-06 Mo/yr    alpha= 0.010      Mass= 3.875  Mo  
# p= 3.5                 amin=0.005 mu     amax= 10 mu 
# 
# log(R)       log(Tphot)   log(Tc)      log(Tirr)    log(To)      log(Tvis)    log(Sigma)   log(H)       log(Ztauss)  log(Zinf)    log(tau_r)
# 
 -5.6697e-01   2.8213e+00   3.1700e+00   2.5929e+00   2.8642e+00   2.7912e+00   4.1482e+00  -1.9212e+00  -1.2911e+00  -1.1384e+00   1.6367e+00 
 -5.2791e-01   2.8005e+00   3.1685e+00   2.5740e+00   2.8484e+00   2.7632e+00   4.0966e+00  -1.8635e+00  -1.2399e+00  -1.0885e+00   1.7544e+00 
 -4.8894e-01   2.7696e+00   3.1667e+00   2.5543e+00   2.8331e+00   2.7352e+00   4.0448e+00  -1.8059e+00  -1.1900e+00  -1.0386e+00   1.8445e+00 
 -4.4985e-01   2.7443e+00   3.1649e+00   2.5342e+00   2.8180e+00   2.7070e+00   3.9927e+00  -1.7482e+00  -1.1389e+00  -9.8880e-01   1.9560e+00 
 -4.1080e-01   2.7134e+00   3.1635e+00   2.5138e+00   2.8032e+00   2.6788e+00   3.9406e+00  -1.6904e+00  -1.0891e+00  -9.3895e-01   2.0580e+00 
 -3.7182e-01   2.6880e+00   3.1617e+00   2.4934e+00   2.7834e+00   2.6506e+00   3.8885e+00  -1.6327e+00  -1.0393e+00  -8.9027e-01   2.1623e+00 
 -3.3282e-01   2.6552e+00   3.1599e+00   2.4728e+00   2.7608e+00   2.6223e+00   3.8363e+00  -1.5751e+00  -9.9034e-01  -8.4269e-01   2.2789e+00 
 -2.9375e-01   2.6301e+00   3.1584e+00   2.4523e+00   2.7381e+00   2.5939e+00   3.7842e+00  -1.5173e+00  -9.4167e-01  -7.9545e-01   2.3750e+00 
 -2.5473e-01   2.6016e+00   3.1565e+00   2.4318e+00   2.7154e+00   2.5656e+00   3.7324e+00  -1.4596e+00  -8.9234e-01  -7.4832e-01   2.4876e+00 
 -2.1575e-01   2.5728e+00   3.1550e+00   2.4112e+00   2.6927e+00   2.5372e+00   3.6811e+00  -1.4019e+00  -8.4304e-01  -7.0202e-01   2.5915e+00 
