# Teff=  4000 K   Age= 1.0 Myr   M*= 0.70 Mo   R*= 2.64 Ro 
# 
# Rdisk=  300 AU         Rhole= 9.0 R* 
# Mdot= 1.0e-08 Mo/yr    alpha= 0.010      Mass= 0.037  Mo  
# p= 3.5                 amin=0.005 mu     amax= 10 mu 
# 
# log(R)       log(Tphot)   log(Tc)      log(Tirr)    log(To)      log(Tvis)    log(Sigma)   log(H)       log(Ztauss)  log(Zinf)    log(tau_r)
# 
 -9.5515e-01   2.6714e+00   3.1467e+00   2.6696e+00   3.1284e+00   2.5643e+00   2.6961e+00  -2.5151e+00  -2.0524e+00  -1.5870e+00   2.4506e+00 
 -9.1113e-01   2.6472e+00   3.1449e+00   2.6580e+00   3.1143e+00   2.5340e+00   2.6497e+00  -2.4501e+00  -1.9780e+00  -1.5509e+00   2.5660e+00 
 -8.6721e-01   2.6218e+00   3.1430e+00   2.6373e+00   3.0759e+00   2.5035e+00   2.6061e+00  -2.3852e+00  -1.9252e+00  -1.5328e+00   2.6802e+00 
 -8.2303e-01   2.5998e+00   3.1405e+00   2.6192e+00   3.0410e+00   2.4726e+00   2.5665e+00  -2.3201e+00  -1.8371e+00  -1.5315e+00   2.7944e+00 
 -7.7906e-01   2.5761e+00   3.1374e+00   2.6005e+00   3.0090e+00   2.4419e+00   2.5333e+00  -2.2557e+00  -1.7839e+00  -1.5301e+00   2.9054e+00 
 -7.3504e-01   2.5366e+00   3.1310e+00   2.5805e+00   2.9207e+00   2.4108e+00   2.5082e+00  -2.1930e+00  -1.7406e+00  -1.4599e+00   3.0047e+00 
 -6.9112e-01   2.5103e+00   3.0945e+00   2.5601e+00   2.8961e+00   2.3797e+00   2.4882e+00  -2.1455e+00  -1.6895e+00  -1.4089e+00   2.9820e+00 
 -6.4718e-01   2.4860e+00   3.0535e+00   2.5400e+00   2.8716e+00   2.3485e+00   2.4672e+00  -2.0999e+00  -1.6387e+00  -1.3579e+00   2.9433e+00 
 -6.0318e-01   2.4606e+00   3.0128e+00   2.5197e+00   2.8539e+00   2.3170e+00   2.4448e+00  -2.0542e+00  -1.5865e+00  -1.3042e+00   2.9066e+00 
 -5.5914e-01   2.4378e+00   2.9732e+00   2.4996e+00   2.8395e+00   2.2856e+00   2.4210e+00  -2.0081e+00  -1.5350e+00  -1.2491e+00   2.8730e+00 
