# Teff=  4000 K   Age= 1.0 Myr   M*= 0.70 Mo   R*= 2.64 Ro 
# 
# Rdisk=  300 AU         Rhole= 11.0 R* 
# Mdot= 1.0e-07 Mo/yr    alpha= 0.010      Mass= 0.410  Mo  
# p= 3.5                 amin=0.005 mu     amax= 10 mu 
# 
# log(R)       log(Tphot)   log(Tc)      log(Tirr)    log(To)      log(Tvis)    log(Sigma)   log(H)       log(Ztauss)  log(Zinf)    log(tau_r)
# 
  4.6149e-01   1.8784e+00   2.5101e+00   1.9972e+00   2.3371e+00   1.7885e+00   2.4450e+00  -7.0867e-01  -2.5849e-01  -2.2222e-02   3.0907e+00 
  5.0441e-01   1.8520e+00   2.4627e+00   1.9818e+00   2.3183e+00   1.7567e+00   2.4293e+00  -6.6793e-01  -2.1320e-01   2.7828e-02   3.0272e+00 
  5.4728e-01   1.8274e+00   2.4150e+00   1.9670e+00   2.2993e+00   1.7249e+00   2.4136e+00  -6.2760e-01  -1.6760e-01   7.8188e-02   2.9611e+00 
  5.9016e-01   1.8041e+00   2.3674e+00   1.9524e+00   2.2804e+00   1.6931e+00   2.3978e+00  -5.8706e-01  -1.2178e-01   1.2883e-01   2.8936e+00 
  6.3306e-01   1.7831e+00   2.3197e+00   1.9380e+00   2.2620e+00   1.6612e+00   2.3820e+00  -5.4656e-01  -7.5461e-02   1.8016e-01   2.8283e+00 
  6.7596e-01   1.7642e+00   2.2725e+00   1.9235e+00   2.2435e+00   1.6293e+00   2.3660e+00  -5.0559e-01  -2.5374e-02   2.3175e-01   2.7711e+00 
  7.1880e-01   1.7466e+00   2.2294e+00   1.9094e+00   2.2253e+00   1.5975e+00   2.3497e+00  -4.6303e-01   2.5284e-02   2.8401e-01   2.7303e+00 
  7.6169e-01   1.7297e+00   2.1901e+00   1.8953e+00   2.2071e+00   1.5656e+00   2.3350e+00  -4.1840e-01   7.7670e-02   3.3637e-01   2.7085e+00 
  8.0452e-01   1.7172e+00   2.1405e+00   1.8817e+00   2.1895e+00   1.5338e+00   2.3253e+00  -3.7885e-01   1.3163e-01   3.9034e-01   2.6483e+00 
  8.4747e-01   1.7083e+00   2.0726e+00   1.8675e+00   2.1720e+00   1.5017e+00   2.3179e+00  -3.4849e-01   1.8684e-01   4.4549e-01   2.5252e+00 
  8.9036e-01   1.6946e+00   2.0111e+00   1.8534e+00   2.1544e+00   1.4698e+00   2.3064e+00  -3.1493e-01   2.3953e-01   4.9987e-01   2.4015e+00 
  9.3322e-01   1.6813e+00   1.9515e+00   1.8391e+00   2.1370e+00   1.4379e+00   2.2924e+00  -2.8036e-01   2.9229e-01   5.5435e-01   2.2763e+00 
