# Teff=  4000 K   Age= 1.0 Myr   M*= 0.70 Mo   R*= 2.64 Ro 
# 
# Rdisk=  300 AU         Rhole= 9.0 R* 
# Mdot= 1.0e-09 Mo/yr    alpha= 0.010      Mass= 0.003  Mo  
# p= 3.5                 amin=0.005 mu     amax= 10 mu 
# 
# log(R)       log(Tphot)   log(Tc)      log(Tirr)    log(To)      log(Tvis)    log(Sigma)   log(H)       log(Ztauss)  log(Zinf)    log(tau_r)
# 
  1.4484e-01   2.0314e+00   2.0542e+00   2.1844e+00   2.4877e+00   1.5227e+00   1.2633e+00  -1.4116e+00  -7.7553e-01  -4.4163e-01   1.6246e+00 
  1.8891e-01   2.0120e+00   2.0286e+00   2.1637e+00   2.4664e+00   1.4901e+00   1.2224e+00  -1.3583e+00  -7.2243e-01  -3.8851e-01   1.5388e+00 
  2.3300e-01   1.9927e+00   2.0048e+00   2.1432e+00   2.4458e+00   1.4576e+00   1.1798e+00  -1.3041e+00  -6.6908e-01  -3.3513e-01   1.4530e+00 
  2.7700e-01   1.9737e+00   1.9824e+00   2.1226e+00   2.4252e+00   1.4250e+00   1.1364e+00  -1.2492e+00  -6.1557e-01  -2.8161e-01   1.3669e+00 
  3.2106e-01   1.9549e+00   1.9611e+00   2.1019e+00   2.4045e+00   1.3925e+00   1.0921e+00  -1.1938e+00  -5.6011e-01  -2.2815e-01   1.2813e+00 
  3.6500e-01   1.9365e+00   1.9409e+00   2.0818e+00   2.3845e+00   1.3600e+00   1.0471e+00  -1.1381e+00  -5.0643e-01  -1.7443e-01   1.1960e+00 
  4.0888e-01   1.9182e+00   1.9212e+00   2.0618e+00   2.3647e+00   1.3276e+00   1.0018e+00  -1.0820e+00  -4.5286e-01  -1.2087e-01   1.1097e+00 
  4.5290e-01   1.8997e+00   1.9018e+00   2.0420e+00   2.3446e+00   1.2949e+00   9.5624e-01  -1.0257e+00  -3.9924e-01  -6.7217e-02   1.0230e+00 
  4.9698e-01   1.8813e+00   1.8828e+00   2.0227e+00   2.3251e+00   1.2622e+00   9.1023e-01  -9.6908e-01  -3.4543e-01  -1.3415e-02   9.3646e-01 
  5.4101e-01   1.8625e+00   1.8635e+00   2.0034e+00   2.3056e+00   1.2297e+00   8.6455e-01  -9.1268e-01  -2.9364e-01   4.0342e-02   8.4830e-01 
  5.8490e-01   1.8438e+00   1.8444e+00   1.9844e+00   2.2862e+00   1.1970e+00   8.1876e-01  -8.5638e-01  -2.4007e-01   9.4071e-02   7.6013e-01 
  6.2893e-01   1.8249e+00   1.8254e+00   1.9653e+00   2.2672e+00   1.1644e+00   7.7274e-01  -7.9987e-01  -1.8618e-01   1.4790e-01   6.7179e-01 
  6.7302e-01   1.8065e+00   1.8068e+00   1.9464e+00   2.2482e+00   1.1316e+00   7.2595e-01  -7.4298e-01  -1.3406e-01   2.0187e-01   5.8380e-01 
  7.1695e-01   1.7885e+00   1.7887e+00   1.9277e+00   2.2294e+00   1.0990e+00   6.7872e-01  -6.8611e-01  -8.0016e-02   2.5585e-01   4.9615e-01 
  7.6095e-01   1.7706e+00   1.7708e+00   1.9092e+00   2.2109e+00   1.0663e+00   6.3100e-01  -6.2912e-01  -2.3854e-02   3.1020e-01   4.0884e-01 
  8.0502e-01   1.7525e+00   1.7525e+00   1.8910e+00   2.1926e+00   1.0334e+00   5.8333e-01  -5.7210e-01   3.4211e-02   3.6431e-01   3.2115e-01 
  8.4899e-01   1.7342e+00   1.7342e+00   1.8728e+00   2.1744e+00   1.0004e+00   5.3585e-01  -5.1531e-01   9.0358e-02   4.1858e-01   2.3336e-01 
  8.9297e-01   1.7153e+00   1.7153e+00   1.8538e+00   2.1559e+00   9.6788e-01   4.8875e-01  -4.5879e-01   1.4293e-01   4.7299e-01   1.4469e-01 
  9.3701e-01   1.6963e+00   1.6963e+00   1.8343e+00   2.1380e+00   9.3505e-01   4.4122e-01  -4.0231e-01   1.9579e-01   5.2789e-01   5.6514e-02 
  9.8103e-01  -1.6000e+01   1.6777e+00   1.8151e+00   2.1202e+00   9.0227e-01   3.9285e-01  -3.4553e-01   2.5258e-01   5.8281e-01  -3.0511e-02 
  1.0250e+00  -1.6000e+01   1.6590e+00   1.7964e+00   2.1024e+00   8.6947e-01   3.4427e-01  -2.8896e-01   3.1256e-01   6.3691e-01  -1.1697e-01 
  1.0690e+00  -1.6000e+01   1.6399e+00   1.7776e+00   2.0846e+00   8.3664e-01   2.9559e-01  -2.3239e-01   3.7392e-01   6.9071e-01  -2.0341e-01 
  1.1130e+00  -1.6000e+01   1.6077e+00   1.7585e+00   2.0461e+00   8.0380e-01   2.5881e-01  -1.8254e-01   4.3284e-01   7.3288e-01  -3.0552e-01 
  1.1569e+00  -1.6000e+01   1.5700e+00   1.7385e+00   2.0022e+00   7.7107e-01   2.2946e-01  -1.3551e-01   4.8208e-01   7.7330e-01  -4.1808e-01 
  1.2009e+00  -1.6000e+01   1.5499e+00   1.7187e+00   1.9841e+00   7.3830e-01   1.8123e-01  -7.9690e-02   5.3575e-01   8.2701e-01  -5.0550e-01 
  1.2450e+00  -1.6000e+01   1.5298e+00   1.6986e+00   1.9659e+00   7.0535e-01   1.3205e-01  -2.3454e-02   5.8975e-01   8.8097e-01  -5.9331e-01 
  1.2890e+00  -1.6000e+01   1.5101e+00   1.6784e+00   1.9476e+00   6.7247e-01   8.2359e-02   3.2635e-02   6.4353e-01   9.3465e-01  -6.7997e-01 
  1.3332e+00  -1.6000e+01   1.4905e+00   1.6577e+00   1.9295e+00   6.3949e-01   3.1809e-02   8.9115e-02   6.9914e-01   9.8851e-01  -7.6638e-01 
  1.3771e+00  -1.6000e+01   1.4719e+00   1.6369e+00   1.9115e+00   6.0670e-01  -1.9364e-02   1.4567e-01   7.5271e-01   1.0420e+00  -8.5146e-01 
  1.4210e+00  -1.6000e+01   1.4544e+00   1.6163e+00   1.8935e+00   5.7392e-01  -7.1791e-02   2.0278e-01   8.0803e-01   1.0958e+00  -9.3567e-01 
  1.4650e+00  -1.6000e+01   1.4376e+00   1.5951e+00   1.8756e+00   5.4095e-01  -1.2472e-01   2.6037e-01   8.6139e-01   1.1490e+00  -1.0196e+00 
  1.5091e+00  -1.6000e+01   1.4214e+00   1.5734e+00   1.8581e+00   5.0799e-01  -1.7820e-01   3.1850e-01   9.1675e-01   1.2025e+00  -1.1036e+00 
  1.5530e+00  -1.6000e+01   1.4071e+00   1.5521e+00   1.8407e+00   4.7524e-01  -2.3239e-01   3.7718e-01   9.7005e-01   1.2559e+00  -1.1864e+00 
  1.5971e+00  -1.6000e+01   1.3938e+00   1.5306e+00   1.8231e+00   4.4217e-01  -2.8751e-01   4.3674e-01   1.0234e+00   1.3094e+00  -1.2690e+00 
  1.6411e+00  -1.6000e+01   1.3818e+00   1.5087e+00   1.8059e+00   4.0943e-01  -3.4310e-01   4.9674e-01   1.0784e+00   1.3625e+00  -1.3510e+00 
  1.6851e+00  -1.6000e+01   1.3713e+00   1.4866e+00   1.7891e+00   3.7639e-01  -3.9954e-01   5.5748e-01   1.1336e+00   1.4157e+00  -1.4322e+00 
  1.7291e+00  -1.6000e+01   1.3615e+00   1.4646e+00   1.7722e+00   3.4361e-01  -4.5632e-01   6.1875e-01   1.1865e+00   1.4688e+00  -1.5134e+00 
  1.7730e+00  -1.6000e+01   1.3526e+00   1.4427e+00   1.7554e+00   3.1069e-01  -5.1332e-01   6.8008e-01   1.2411e+00   1.5217e+00  -1.5942e+00 
  1.8171e+00  -1.6000e+01   1.3442e+00   1.4208e+00   1.7389e+00   2.7761e-01  -5.7084e-01   7.4204e-01   1.2958e+00   1.5748e+00  -1.6752e+00 
  1.8611e+00  -1.6000e+01   1.3371e+00   1.3998e+00   1.7227e+00   2.4477e-01  -6.2939e-01   8.0453e-01   1.3488e+00   1.6278e+00  -1.7547e+00 
  1.9051e+00  -1.6000e+01   1.3296e+00   1.3784e+00   1.7065e+00   2.1192e-01  -6.8776e-01   8.6680e-01   1.4032e+00   1.6804e+00  -1.8347e+00 
  1.9491e+00  -1.6000e+01   1.3224e+00   1.3571e+00   1.6903e+00   1.7898e-01  -7.4634e-01   9.2924e-01   1.4557e+00   1.7330e+00  -1.9151e+00 
  1.9931e+00  -1.6000e+01   1.3149e+00   1.3354e+00   1.6744e+00   1.4582e-01  -8.0495e-01   9.9170e-01   1.5097e+00   1.7852e+00  -1.9959e+00 
  2.0371e+00  -1.6000e+01   1.3081e+00   1.3141e+00   1.6587e+00   1.1294e-01  -8.6421e-01   1.0542e+00   1.5635e+00   1.8373e+00  -2.0757e+00 
  2.0811e+00  -1.6000e+01   1.3010e+00   1.2926e+00   1.6430e+00   7.9904e-02  -9.2350e-01   1.1168e+00   1.6153e+00   1.8890e+00  -2.1563e+00 
  2.1252e+00  -1.6000e+01   1.2938e+00   1.2709e+00   1.6272e+00   4.6885e-02  -9.8308e-01   1.1796e+00   1.6683e+00   1.9404e+00  -2.2377e+00 
  2.1691e+00  -1.6000e+01   1.2867e+00   1.2495e+00   1.6116e+00   1.4100e-02  -1.0427e+00   1.2419e+00   1.7207e+00   1.9911e+00  -2.3184e+00 
  2.2132e+00  -1.6000e+01   1.2792e+00   1.2278e+00   1.5963e+00  -1.8816e-02  -1.1029e+00   1.3045e+00   1.7729e+00   2.0416e+00  -2.3999e+00 
  2.2570e+00  -1.6000e+01   1.2716e+00   1.2062e+00   1.5809e+00  -5.1685e-02  -1.1632e+00   1.3666e+00   1.8260e+00   2.0915e+00  -2.4811e+00 
  2.3012e+00  -1.6000e+01   1.2627e+00   1.1841e+00   1.5656e+00  -8.4759e-02  -1.2238e+00   1.4285e+00   1.8768e+00   2.1406e+00  -2.5640e+00 
  2.3452e+00  -1.6000e+01   1.2531e+00   1.1622e+00   1.5502e+00  -1.1770e-01  -1.2846e+00   1.4899e+00   1.9283e+00   2.1886e+00  -2.6462e+00 
  2.3890e+00  -1.6000e+01   1.2430e+00   1.1402e+00   1.5353e+00  -1.5052e-01  -1.3461e+00   1.5510e+00   1.9774e+00   2.2361e+00  -2.7276e+00 
  2.4330e+00  -1.6000e+01   1.2327e+00   1.1180e+00   1.5204e+00  -1.8349e-01  -1.4083e+00   1.6122e+00   2.0273e+00   2.2826e+00  -2.8091e+00 
  2.4771e+00  -1.6000e+01   1.2219e+00   1.0955e+00   1.5053e+00  -2.1653e-01  -1.4710e+00   1.6733e+00   2.0777e+00   2.3284e+00  -2.8905e+00 
