# Teff=  4000 K   Age= 1.0 Myr   M*= 0.70 Mo   R*= 2.64 Ro 
# 
# Rdisk=  300 AU         Rhole= 9.0 R* 
# Mdot= 1.0e-09 Mo/yr    alpha= 0.010      Mass= 0.003  Mo  
# p= 3.5                 amin=0.005 mu     amax= 10 mu 
# 
# log(R)       log(Tphot)   log(Tc)      log(Tirr)    log(To)      log(Tvis)    log(Sigma)   log(H)       log(Ztauss)  log(Zinf)    log(tau_r)
# 
 -9.5515e-01   2.6013e+00   2.9004e+00   2.6658e+00   3.1284e+00   2.3143e+00   2.0020e+00  -2.6385e+00  -2.2122e+00  -1.6038e+00   2.4423e+00 
 -9.1113e-01   2.5925e+00   2.8680e+00   2.6596e+00   3.1146e+00   2.2840e+00   1.9761e+00  -2.5886e+00  -2.1198e+00  -1.5670e+00   2.4268e+00 
 -8.6721e-01   2.5711e+00   2.8363e+00   2.6384e+00   3.0763e+00   2.2536e+00   1.9498e+00  -2.5386e+00  -2.0644e+00  -1.5516e+00   2.4185e+00 
 -8.2303e-01   2.5565e+00   2.8032e+00   2.6252e+00   3.0414e+00   2.2227e+00   1.9215e+00  -2.4889e+00  -1.9481e+00  -1.5557e+00   2.4015e+00 
 -7.7906e-01   2.5393e+00   2.7695e+00   2.6088e+00   3.0095e+00   2.1917e+00   1.8914e+00  -2.4398e+00  -1.8882e+00  -1.5599e+00   2.3820e+00 
 -7.3504e-01   2.4958e+00   2.7368e+00   2.5892e+00   2.9210e+00   2.1608e+00   1.8635e+00  -2.3901e+00  -1.8517e+00  -1.4875e+00   2.3850e+00 
 -6.9112e-01   2.4735e+00   2.7079e+00   2.5689e+00   2.8965e+00   2.1297e+00   1.8309e+00  -2.3387e+00  -1.7985e+00  -1.4360e+00   2.3908e+00 
 -6.4718e-01   2.4507e+00   2.6826e+00   2.5490e+00   2.8720e+00   2.0983e+00   1.7981e+00  -2.2854e+00  -1.7450e+00  -1.3849e+00   2.4121e+00 
 -6.0318e-01   2.4302e+00   2.6609e+00   2.5292e+00   2.8541e+00   2.0671e+00   1.7667e+00  -2.2303e+00  -1.6927e+00  -1.3305e+00   2.4498e+00 
 -5.5914e-01   2.4099e+00   2.6376e+00   2.5095e+00   2.8397e+00   2.0354e+00   1.7388e+00  -2.1759e+00  -1.6389e+00  -1.2745e+00   2.4807e+00 
 -5.1511e-01   2.3906e+00   2.6068e+00   2.4893e+00   2.8254e+00   2.0039e+00   1.7144e+00  -2.1252e+00  -1.5849e+00  -1.2185e+00   2.4778e+00 
 -4.7116e-01   2.3701e+00   2.5655e+00   2.4693e+00   2.8110e+00   1.9724e+00   1.6907e+00  -2.0799e+00  -1.5333e+00  -1.1626e+00   2.4248e+00 
 -4.2709e-01   2.3495e+00   2.5239e+00   2.4490e+00   2.7956e+00   1.9406e+00   1.6660e+00  -2.0346e+00  -1.4798e+00  -1.1069e+00   2.3673e+00 
 -3.8305e-01   2.3284e+00   2.4823e+00   2.4287e+00   2.7716e+00   1.9088e+00   1.6408e+00  -1.9893e+00  -1.4302e+00  -1.0553e+00   2.3067e+00 
 -3.3908e-01   2.3062e+00   2.4411e+00   2.4081e+00   2.7476e+00   1.8769e+00   1.6146e+00  -1.9441e+00  -1.3788e+00  -1.0039e+00   2.2424e+00 
 -2.9513e-01   2.2844e+00   2.4004e+00   2.3875e+00   2.7235e+00   1.8449e+00   1.5872e+00  -1.8984e+00  -1.3234e+00  -9.5264e-01   2.1747e+00 
 -2.5109e-01   2.2639e+00   2.3612e+00   2.3677e+00   2.6991e+00   1.8129e+00   1.5576e+00  -1.8520e+00  -1.2658e+00  -9.0164e-01   2.1038e+00 
 -2.0713e-01   2.2418e+00   2.3228e+00   2.3468e+00   2.6749e+00   1.7809e+00   1.5273e+00  -1.8053e+00  -1.2028e+00  -8.5096e-01   2.0294e+00 
 -1.6307e-01   2.2164e+00   2.2840e+00   2.3251e+00   2.6488e+00   1.7487e+00   1.4981e+00  -1.7586e+00  -1.1415e+00  -8.0150e-01   1.9511e+00 
 -1.1910e-01   2.1914e+00   2.2475e+00   2.3049e+00   2.6221e+00   1.7165e+00   1.4665e+00  -1.7109e+00  -1.0825e+00  -7.5254e-01   1.8805e+00 
 -7.5096e-02   2.1673e+00   2.2172e+00   2.2853e+00   2.5964e+00   1.6843e+00   1.4297e+00  -1.6600e+00  -1.0299e+00  -7.0175e-01   1.8524e+00 
 -3.1097e-02   2.1464e+00   2.1931e+00   2.2655e+00   2.5746e+00   1.6521e+00   1.3892e+00  -1.6061e+00  -9.7509e-01  -6.4884e-01   1.8625e+00 
  1.2921e-02   2.1252e+00   2.1685e+00   2.2455e+00   2.5528e+00   1.6197e+00   1.3496e+00  -1.5522e+00  -9.2221e-01  -5.9594e-01   1.8657e+00 
  5.6940e-02   2.1038e+00   2.1402e+00   2.2252e+00   2.5310e+00   1.5874e+00   1.3124e+00  -1.5005e+00  -8.6917e-01  -5.4315e-01   1.8204e+00 
  1.0091e-01   2.0824e+00   2.1099e+00   2.2049e+00   2.5097e+00   1.5550e+00   1.2747e+00  -1.4495e+00  -8.1630e-01  -4.9009e-01   1.7350e+00 
