# Teff=  4000 K   Age= 10.0 Myr   M*= 0.80 Mo   R*= 1.16 Ro 
# 
# Rdisk=  300 AU         Rhole= 11.0 R* 
# Mdot= 1.0e-08 Mo/yr    alpha= 0.010      Mass= 0.061  Mo  
# p= 3.5                 amin=0.005 mu     amax= 100 mu 
# 
# log(R)       log(Tphot)   log(Tc)      log(Tirr)    log(To)      log(Tvis)    log(Sigma)   log(H)       log(Ztauss)  log(Zinf)    log(tau_r)
# 
  2.4628e-01   1.8173e+00   2.2718e+00   1.8947e+00   2.2558e+00   1.7156e+00   2.0016e+00  -1.1795e+00  -7.0139e-01  -4.1896e-01   2.4180e+00 
  2.9373e-01   1.7891e+00   2.2370e+00   1.8748e+00   2.2345e+00   1.6803e+00   1.9683e+00  -1.1257e+00  -6.4890e-01  -3.6301e-01   2.4108e+00 
  3.4124e-01   1.7612e+00   2.2068e+00   1.8552e+00   2.2133e+00   1.6450e+00   1.9365e+00  -1.0697e+00  -5.9469e-01  -3.0706e-01   2.4247e+00 
  3.8870e-01   1.7350e+00   2.1738e+00   1.8361e+00   2.1923e+00   1.6097e+00   1.9096e+00  -1.0150e+00  -5.3889e-01  -2.5118e-01   2.4457e+00 
  4.3615e-01   1.7100e+00   2.1281e+00   1.8174e+00   2.1711e+00   1.5744e+00   1.8876e+00  -9.6661e-01  -4.8091e-01  -1.9502e-01   2.4228e+00 
  4.8359e-01   1.6873e+00   2.0755e+00   1.7989e+00   2.1504e+00   1.5391e+00   1.8664e+00  -9.2177e-01  -4.2137e-01  -1.3911e-01   2.3695e+00 
  5.3108e-01   1.6641e+00   2.0274e+00   1.7810e+00   2.1297e+00   1.5038e+00   1.8435e+00  -8.7468e-01  -3.6490e-01  -8.2412e-02   2.3137e+00 
  5.7850e-01   1.6409e+00   1.9779e+00   1.7626e+00   2.1092e+00   1.4685e+00   1.8210e+00  -8.2826e-01  -3.0926e-01  -2.5238e-02   2.2560e+00 
  6.2600e-01   1.6192e+00   1.9279e+00   1.7445e+00   2.0888e+00   1.4330e+00   1.7981e+00  -7.8199e-01  -2.5495e-01   3.2754e-02   2.1951e+00 
  6.7343e-01   1.5738e+00   1.8786e+00   1.7263e+00   2.0103e+00   1.3978e+00   1.7795e+00  -7.3554e-01  -2.0508e-01   6.5297e-02   2.1299e+00 
  7.2091e-01   1.5532e+00   1.8265e+00   1.7077e+00   1.9889e+00   1.3623e+00   1.7570e+00  -6.9030e-01  -1.4925e-01   1.2281e-01   2.0602e+00 
  7.6849e-01   1.5328e+00   1.7742e+00   1.6895e+00   1.9676e+00   1.3267e+00   1.7334e+00  -6.4504e-01  -9.1307e-02   1.8078e-01   1.9849e+00 
  8.1589e-01   1.5123e+00   1.7222e+00   1.6707e+00   1.9465e+00   1.2914e+00   1.7089e+00  -5.9998e-01  -3.3535e-02   2.3861e-01   1.9041e+00 
  8.6315e-01   1.4922e+00   1.6709e+00   1.6520e+00   1.9256e+00   1.2562e+00   1.6827e+00  -5.5473e-01   2.4171e-02   2.9635e-01   1.8181e+00 
  9.1071e-01   1.4723e+00   1.6203e+00   1.6330e+00   1.9046e+00   1.2206e+00   1.6543e+00  -5.0870e-01   8.2357e-02   3.5454e-01   1.7265e+00 
  9.5826e-01   1.4529e+00   1.5719e+00   1.6146e+00   1.8836e+00   1.1853e+00   1.6231e+00  -4.6163e-01   1.4069e-01   4.1280e-01   1.6299e+00 
  1.0058e+00   1.4333e+00   1.5263e+00   1.5958e+00   1.8630e+00   1.1495e+00   1.5890e+00  -4.1310e-01   1.9900e-01   4.7113e-01   1.5286e+00 
  1.0532e+00   1.4135e+00   1.4839e+00   1.5763e+00   1.8424e+00   1.1143e+00   1.5522e+00  -3.6320e-01   2.5722e-01   5.2934e-01   1.4247e+00 
  1.1006e+00   1.3941e+00   1.4456e+00   1.5570e+00   1.8219e+00   1.0788e+00   1.5122e+00  -3.1122e-01   3.1723e-01   5.8765e-01   1.3186e+00 
  1.1481e+00   1.3749e+00   1.4116e+00   1.5379e+00   1.8016e+00   1.0434e+00   1.4690e+00  -2.5690e-01   3.7574e-01   6.4616e-01   1.2118e+00 
  1.1956e+00   1.3553e+00   1.3808e+00   1.5180e+00   1.7815e+00   1.0077e+00   1.4241e+00  -2.0115e-01   4.3426e-01   7.0465e-01   1.1050e+00 
  1.2431e+00   1.3365e+00   1.3535e+00   1.4987e+00   1.7614e+00   9.7225e-01   1.3765e+00  -1.4359e-01   4.9464e-01   7.6325e-01   1.0003e+00 
  1.2905e+00   1.3166e+00   1.3278e+00   1.4785e+00   1.7415e+00   9.3682e-01   1.3286e+00  -8.5336e-02   5.5315e-01   8.2196e-01   8.9380e-01 
  1.3380e+00   1.2967e+00   1.3036e+00   1.4585e+00   1.7217e+00   9.0124e-01   1.2794e+00  -2.6065e-02   6.1348e-01   8.8052e-01   7.8879e-01 
  1.3854e+00   1.2765e+00   1.2808e+00   1.4384e+00   1.7021e+00   8.6581e-01   1.2301e+00   3.3601e-02   6.7189e-01   9.3894e-01   6.8480e-01 
  1.4329e+00   1.2558e+00   1.2584e+00   1.4180e+00   1.6823e+00   8.3033e-01   1.1804e+00   9.3529e-02   7.3029e-01   9.9734e-01   5.8105e-01 
  1.4803e+00   1.2353e+00   1.2368e+00   1.3979e+00   1.6630e+00   7.9477e-01   1.1298e+00   1.5413e-01   7.9037e-01   1.0559e+00   4.7862e-01 
  1.5278e+00   1.2146e+00   1.2154e+00   1.3769e+00   1.6438e+00   7.5929e-01   1.0790e+00   2.1446e-01   8.4875e-01   1.1142e+00   3.7704e-01 
  1.5753e+00   1.1940e+00   1.1945e+00   1.3558e+00   1.6247e+00   7.2370e-01   1.0267e+00   2.7530e-01   9.0898e-01   1.1726e+00   2.7875e-01 
  1.6228e+00   1.1738e+00   1.1741e+00   1.3345e+00   1.6057e+00   6.8815e-01   9.7313e-01   3.3626e-01   9.6925e-01   1.2312e+00   1.8154e-01 
  1.6702e+00   1.1538e+00   1.1538e+00   1.3133e+00   1.5870e+00   6.5263e-01   9.1883e-01   3.9736e-01   1.0277e+00   1.2899e+00   8.5576e-02 
